,event_id,group
0,20190115T000101Z,0
1,20190115T012008Z,0
2,20190115T070139Z,0
3,20190115T071048Z,0
4,20190115T075319Z,0
5,20190115T080205Z,0
6,20190115T080818Z,0
7,20190115T081231Z,0
8,20190115T081749Z,0
9,20190115T081901Z,0
10,20190115T082131Z,0
11,20190115T082212Z,0
12,20190115T082344Z,0
13,20190115T082517Z,0
14,20190115T083829Z,0
15,20190115T084509Z,0
16,20190115T084726Z,0
17,20190115T085107Z,0
18,20190115T085545Z,0
19,20190115T085703Z,0
20,20190115T090400Z,0
21,20190115T090727Z,0
22,20190115T090922Z,0
23,20190115T091351Z,0
24,20190115T091552Z,0
25,20190115T092253Z,0
26,20190115T092349Z,0
27,20190115T092615Z,0
28,20190115T093019Z,0
29,20190115T093536Z,0
30,20190115T093603Z,0
31,20190115T093729Z,0
32,20190115T093950Z,0
33,20190115T094215Z,0
34,20190115T094837Z,0
35,20190115T095224Z,0
36,20190115T095339Z,0
37,20190115T095529Z,0
38,20190115T100207Z,0
39,20190115T100529Z,0
40,20190115T100628Z,0
41,20190115T100828Z,0
42,20190115T101054Z,0
43,20190115T101223Z,0
44,20190115T101240Z,0
45,20190115T101645Z,0
46,20190115T102406Z,0
47,20190115T102459Z,0
48,20190115T102952Z,0
49,20190115T103609Z,0
50,20190115T103652Z,0
51,20190115T103907Z,0
52,20190115T104131Z,0
53,20190115T104515Z,0
54,20190115T104628Z,0
55,20190115T105112Z,0
56,20190115T105533Z,0
57,20190115T105950Z,0
58,20190115T110137Z,0
59,20190115T110742Z,0
60,20190115T110855Z,0
61,20190115T111110Z,0
62,20190115T111337Z,0
63,20190115T111849Z,0
64,20190115T111913Z,0
65,20190115T112408Z,0
66,20190115T112650Z,0
67,20190115T112949Z,0
68,20190115T112957Z,0
69,20190115T113520Z,0
70,20190115T113750Z,0
71,20190115T114025Z,0
72,20190115T114559Z,0
73,20190115T114628Z,0
74,20190115T114950Z,0
75,20190115T115128Z,0
76,20190115T115159Z,0
77,20190115T115647Z,0
78,20190115T120301Z,0
79,20190115T120721Z,0
80,20190115T121141Z,0
81,20190115T121237Z,0
82,20190115T121323Z,0
83,20190115T121735Z,0
84,20190115T122146Z,0
85,20190115T122203Z,0
86,20190115T122223Z,0
87,20190115T122807Z,0
88,20190115T123300Z,0
89,20190115T123446Z,0
90,20190115T123735Z,0
91,20190115T123945Z,0
92,20190115T124207Z,0
93,20190115T124401Z,0
94,20190115T124626Z,0
95,20190115T124645Z,0
96,20190115T124903Z,0
97,20190115T125105Z,0
98,20190115T125418Z,0
99,20190115T125526Z,0
100,20190115T125848Z,0
101,20190115T130014Z,0
102,20190115T130244Z,0
103,20190115T130519Z,0
104,20190115T130848Z,0
105,20190115T130951Z,0
106,20190115T131136Z,0
107,20190115T131238Z,0
108,20190115T131452Z,0
109,20190115T131928Z,0
110,20190115T132318Z,0
111,20190115T132408Z,0
112,20190115T132425Z,0
113,20190115T132458Z,0
114,20190115T132835Z,0
115,20190115T132948Z,0
116,20190115T133042Z,0
117,20190115T133339Z,0
118,20190115T133433Z,0
119,20190115T133848Z,0
120,20190115T134227Z,0
121,20190115T134337Z,0
122,20190115T134403Z,0
123,20190115T134636Z,0
124,20190115T135854Z,0
125,20190115T140840Z,0
126,20190115T140923Z,0
127,20190115T141452Z,0
128,20190115T142229Z,0
129,20190115T142424Z,0
130,20190115T143330Z,0
131,20190115T143832Z,0
132,20190115T144339Z,0
133,20190115T145219Z,0
134,20190115T145511Z,0
135,20190115T145813Z,0
136,20190115T150136Z,0
137,20190115T150552Z,0
138,20190115T150924Z,0
139,20190115T153353Z,0
140,20190115T155353Z,0
141,20190115T155757Z,0
142,20190115T163735Z,0
143,20190115T165141Z,0
144,20190115T170239Z,0
145,20190115T173059Z,0
146,20190115T174327Z,0
147,20190115T175004Z,0
148,20190115T175406Z,0
149,20190115T180657Z,0
150,20190115T180713Z,0
151,20190115T180801Z,0
152,20190115T181704Z,0
153,20190115T183314Z,0
154,20190115T184313Z,0
155,20190115T185421Z,0
156,20190115T190549Z,0
157,20190115T190641Z,0
158,20190115T190809Z,0
159,20190115T190854Z,0
160,20190115T192344Z,0
161,20190115T194402Z,0
162,20190115T195149Z,0
163,20190115T200054Z,0
164,20190115T200232Z,0
165,20190115T200652Z,0
166,20190115T201204Z,0
167,20190115T201330Z,0
168,20190115T201452Z,0
169,20190115T203919Z,0
170,20190115T205246Z,0
171,20190115T205438Z,0
172,20190115T212150Z,0
173,20190115T212326Z,0
174,20190115T212637Z,0
175,20190115T214534Z,0
176,20190115T215541Z,0
177,20190115T220657Z,0
178,20190115T221938Z,0
179,20190115T223039Z,0
180,20190115T223329Z,0
181,20190115T223553Z,0
182,20190115T223803Z,0
183,20190115T223902Z,0
184,20190115T225846Z,0
185,20190115T230813Z,0
186,20190115T230913Z,0
187,20190115T231103Z,0
188,20190115T231406Z,0
189,20190115T232153Z,0
190,20190115T233556Z,0
191,20190115T234151Z,0
