Station,P1,P2,,,,
TI1A,4.13,4.7,,,,
TI3A,2.34,2.55,,,,
TI4A,3.83,4.28,,,,
TI6A,2.07,2.15,,,,
TI7A,5.89,7.73,,,,
TI8A,2.27,2.44,,,,
