,event_id,group
0,20181231T001856Z,0
1,20181231T012328Z,0
2,20181231T013531Z,0
3,20181231T015032Z,0
4,20181231T015522Z,0
5,20181231T015623Z,0
6,20181231T022649Z,0
7,20181231T023334Z,0
8,20181231T024143Z,0
9,20181231T025013Z,0
10,20181231T025432Z,0
11,20181231T025535Z,0
12,20181231T030647Z,0
13,20181231T032540Z,0
14,20181231T032732Z,0
15,20181231T032836Z,0
16,20181231T033635Z,0
17,20181231T034722Z,0
18,20181231T041707Z,0
19,20181231T043850Z,0
20,20181231T044816Z,0
21,20181231T052614Z,0
22,20181231T052729Z,0
23,20181231T063238Z,0
24,20181231T065546Z,0
25,20181231T071104Z,0
26,20181231T071849Z,0
27,20181231T071933Z,0
28,20181231T072507Z,0
29,20181231T072715Z,0
30,20181231T073353Z,0
31,20181231T073757Z,0
32,20181231T073932Z,0
33,20181231T074157Z,0
34,20181231T074633Z,0
35,20181231T075727Z,0
36,20181231T080619Z,0
37,20181231T080825Z,0
38,20181231T081439Z,0
39,20181231T082659Z,0
40,20181231T082757Z,0
41,20181231T083050Z,0
42,20181231T083151Z,0
43,20181231T083522Z,0
44,20181231T083851Z,0
45,20181231T084332Z,0
46,20181231T084512Z,0
47,20181231T084515Z,0
48,20181231T085103Z,0
49,20181231T085517Z,0
50,20181231T090217Z,0
51,20181231T090731Z,0
52,20181231T090925Z,0
53,20181231T091104Z,0
54,20181231T091740Z,0
55,20181231T092012Z,0
56,20181231T092637Z,0
57,20181231T092810Z,0
58,20181231T093921Z,0
59,20181231T094315Z,0
60,20181231T105701Z,0
61,20181231T105758Z,0
62,20181231T105841Z,0
63,20181231T111005Z,0
64,20181231T111507Z,0
65,20181231T112014Z,0
66,20181231T112817Z,0
67,20181231T112851Z,0
68,20181231T113508Z,0
69,20181231T113717Z,0
70,20181231T113946Z,0
71,20181231T114047Z,0
72,20181231T114611Z,0
73,20181231T114653Z,0
74,20181231T115320Z,0
75,20181231T120026Z,0
76,20181231T120622Z,0
77,20181231T121058Z,0
78,20181231T121156Z,0
79,20181231T131707Z,0
80,20181231T132738Z,0
81,20181231T133049Z,0
82,20181231T134035Z,0
83,20181231T134813Z,0
84,20181231T135155Z,0
85,20181231T135232Z,0
86,20181231T135337Z,0
87,20181231T135552Z,0
88,20181231T163421Z,0
89,20181231T174650Z,0
90,20181231T185834Z,0
91,20181231T195407Z,0
92,20181231T213402Z,0
93,20181231T220112Z,0
94,20181231T220711Z,0
95,20181231T221323Z,0
96,20181231T224119Z,0
97,20181231T224133Z,0
98,20181231T224506Z,0
99,20181231T224848Z,0
100,20181231T231758Z,0
101,20181231T232034Z,0
102,20181231T232136Z,0
103,20181231T232506Z,0
104,20181231T232629Z,0
105,20181231T234527Z,0
106,20181231T235502Z,0
