,event_id,group,similarity
0,20190119T040409Z,117,0.8785529344922806
1,20190119T045207Z,39,0.8198314774149628
2,20190119T060059Z,43,0.9276767532804445
3,20190119T072035Z,39,0.8376311738521097
4,20190119T075133Z,116,0.8473910690075849
5,20190119T081513Z,39,0.8263453348066854
6,20190119T085212Z,116,0.8486814216027754
7,20190119T092346Z,39,0.8041234108319814
8,20190119T110203Z,39,0.8611417528928706
9,20190119T132322Z,31,0.9090528974811581
10,20190119T141821Z,39,0.8613490911235142
11,20190119T151927Z,39,0.814786761922676
12,20190119T165536Z,117,0.8862618744904323
13,20190119T171136Z,39,0.8606635685537362
14,20190119T203012Z,43,0.9578326621000907
15,20190119T214100Z,39,0.8127680620652509
16,20190119T224735Z,116,0.8813852347150046
