,event_id,stations,network_time,ref_time,ref_duration,group
0,20190118T000201Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",13.049758459477674,2019-01-18T00:02:01.835121Z,34.009758,0
1,20190118T000533Z,"['1J.TI3A.', '1J.TI1A.', '1J.TI4A.']",13.049758459477674,2019-01-18T00:05:33.725121Z,26.139759,0
2,20190118T001313Z,"['1J.TI3A.', '1J.TI8A.', '1J.TI6A.', '1J.TI4A.']",13.049758459477674,2019-01-18T00:13:13.265121Z,20.839758,0
3,20190118T002838Z,"['1J.TI4A.', '1J.TI8A.', '1J.TI1A.']",13.049758459477674,2019-01-18T00:28:38.835121Z,13.609758,0
4,20190118T003104Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.', '1J.TI1A.']",13.049758459477674,2019-01-18T00:31:04.195121Z,27.349758,0
5,20190118T003239Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI1A.']",13.049758459477674,2019-01-18T00:32:39.275121Z,10.579758,0
6,20190118T004024Z,"['1J.TI8A.', '1J.TI3A.', '1J.TI4A.', '1J.TI6A.', '1J.TI1A.']",13.049758459477674,2019-01-18T00:40:24.775121Z,31.409758,0
7,20190118T010234Z,"['1J.TI3A.', '1J.TI4A.', '1J.TI8A.', '1J.TI1A.']",13.049758459477674,2019-01-18T01:02:34.795121Z,34.219758,0
8,20190118T010747Z,"['1J.TI3A.', '1J.TI1A.', '1J.TI4A.']",13.049758459477674,2019-01-18T01:07:47.795121Z,11.289758,0
9,20190118T011244Z,"['1J.TI6A.', '1J.TI1A.', '1J.TI8A.']",13.049758459477674,2019-01-18T01:12:44.725121Z,11.729758,0
10,20190118T011457Z,"['1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",13.049758459477674,2019-01-18T01:14:57.915121Z,8.399759,0
11,20190118T011506Z,"['1J.TI8A.', '1J.TI4A.', '1J.TI3A.']",13.049758459477674,2019-01-18T01:15:06.205121Z,11.129758,0
12,20190118T013233Z,"['1J.TI4A.', '1J.TI6A.', '1J.TI8A.', '1J.TI1A.', '1J.TI3A.']",13.049758459477674,2019-01-18T01:32:33.525121Z,26.759759,0
13,20190118T013508Z,"['1J.TI1A.', '1J.TI3A.', '1J.TI4A.', '1J.TI8A.']",13.049758459477674,2019-01-18T01:35:08.035121Z,16.049758,0
14,20190118T015924Z,"['1J.TI3A.', '1J.TI8A.', '1J.TI1A.', '1J.TI4A.', '1J.TI6A.']",13.049758459477674,2019-01-18T01:59:24.135121Z,57.809758,0
15,20190118T020327Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI1A.', '1J.TI8A.']",13.049758459477674,2019-01-18T02:03:27.685121Z,14.849758,0
16,20190118T021416Z,"['1J.TI3A.', '1J.TI8A.', '1J.TI1A.']",13.049758459477674,2019-01-18T02:14:16.515121Z,19.829758,0
17,20190118T021438Z,"['1J.TI8A.', '1J.TI1A.', '1J.TI3A.', '1J.TI6A.', '1J.TI4A.']",13.049758459477674,2019-01-18T02:14:38.105121Z,33.929758,0
18,20190118T022232Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI1A.', '1J.TI4A.']",13.049758459477674,2019-01-18T02:22:32.085121Z,28.939759,0
19,20190118T022715Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.', '1J.TI1A.']",13.049758459477674,2019-01-18T02:27:15.765121Z,31.839759,0
20,20190118T023313Z,"['1J.TI1A.', '1J.TI4A.', '1J.TI3A.']",13.049758459477674,2019-01-18T02:33:13.915121Z,20.199759,0
21,20190118T023755Z,"['1J.TI6A.', '1J.TI1A.', '1J.TI4A.']",13.049758459477674,2019-01-18T02:37:55.785121Z,5.129758,0
22,20190118T024154Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.', '1J.TI1A.']",13.049758459477674,2019-01-18T02:41:54.405121Z,26.609758,0
23,20190118T024454Z,"['1J.TI4A.', '1J.TI3A.', '1J.TI6A.']",13.049758459477674,2019-01-18T02:44:54.005121Z,1.169758,0
24,20190118T025345Z,"['1J.TI1A.', '1J.TI4A.', '1J.TI6A.']",13.049758459477674,2019-01-18T02:53:45.085121Z,12.609758,0
25,20190118T030424Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",13.049758459477674,2019-01-18T03:04:24.405121Z,25.309759,0
26,20190118T030855Z,"['1J.TI8A.', '1J.TI6A.', '1J.TI4A.', '1J.TI1A.', '1J.TI3A.']",13.049758459477674,2019-01-18T03:08:55.185121Z,28.539758,0
27,20190118T031405Z,"['1J.TI4A.', '1J.TI8A.', '1J.TI1A.']",13.049758459477674,2019-01-18T03:14:05.025121Z,15.539758,0
28,20190118T031709Z,"['1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",13.049758459477674,2019-01-18T03:17:09.245121Z,19.379758,0
29,20190118T032113Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",13.049758459477674,2019-01-18T03:21:13.175121Z,29.449758,0
30,20190118T035304Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.']",13.049758459477674,2019-01-18T03:53:04.485121Z,19.119758,0
31,20190118T035458Z,"['1J.TI1A.', '1J.TI4A.', '1J.TI8A.', '1J.TI6A.']",13.049758459477674,2019-01-18T03:54:58.365121Z,28.029759,0
32,20190118T035951Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI1A.', '1J.TI4A.']",13.049758459477674,2019-01-18T03:59:51.515121Z,26.759759,0
33,20190118T040847Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.', '1J.TI1A.']",13.049758459477674,2019-01-18T04:08:47.435121Z,32.149758,0
34,20190118T042434Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI1A.', '1J.TI8A.']",13.049758459477674,2019-01-18T04:24:34.925121Z,28.799759,0
35,20190118T043014Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",13.049758459477674,2019-01-18T04:30:14.495121Z,25.859759,0
36,20190118T043835Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",13.049758459477674,2019-01-18T04:38:35.015121Z,24.899759,0
37,20190118T045211Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI1A.']",13.049758459477674,2019-01-18T04:52:11.155121Z,23.519759,0
38,20190118T050113Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",13.049758459477674,2019-01-18T05:01:13.335121Z,33.549758,0
39,20190118T050638Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI1A.', '1J.TI8A.']",13.049758459477674,2019-01-18T05:06:38.005121Z,19.009758,0
40,20190118T051113Z,"['1J.TI3A.', '1J.TI8A.', '1J.TI6A.', '1J.TI4A.', '1J.TI1A.']",13.049758459477674,2019-01-18T05:11:13.835121Z,26.869758,0
41,20190118T052134Z,"['1J.TI3A.', '1J.TI8A.', '1J.TI1A.']",13.049758459477674,2019-01-18T05:21:34.705121Z,18.499758,0
42,20190118T053221Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.']",13.049758459477674,2019-01-18T05:32:21.025121Z,20.689758,0
43,20190118T053716Z,"['1J.TI1A.', '1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",13.049758459477674,2019-01-18T05:37:16.225121Z,61.479758,0
44,20190118T060806Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI1A.', '1J.TI4A.']",13.049758459477674,2019-01-18T06:08:06.515121Z,30.959759,0
45,20190118T060810Z,"['1J.TI8A.', '1J.TI1A.', '1J.TI4A.', '1J.TI3A.', '1J.TI6A.']",13.049758459477674,2019-01-18T06:08:10.795121Z,54.989758,0
46,20190118T061520Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI1A.', '1J.TI4A.']",13.049758459477674,2019-01-18T06:15:20.245121Z,28.269758,0
47,20190118T061715Z,"['1J.TI1A.', '1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",13.049758459477674,2019-01-18T06:17:15.485121Z,21.149758,0
48,20190118T062756Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.']",13.049758459477674,2019-01-18T06:27:56.685121Z,0.579759,0
