event_id,amplitude,med_freq,duration,energy,mean_freq
20190120T001105Z,4906.533911633636,1.800537109375,16.594,88140.54041893674,2.8888723831406975
20190120T001257Z,1242.7573012662308,1.8310546875,2.496,6037.660023603923,4.306083002352743
20190120T001646Z,823.101556715563,4.5166015625,4.288,3536.3233306945544,7.512101818208595
20190120T001955Z,690.4588417645326,5.126953125,2.604,2193.415836990842,9.802282569572435
20190120T002720Z,4343.659481002726,1.129150390625,16.334,69562.96101414796,1.791858403691686
20190120T002859Z,2238.0481481688994,73.3642578125,3.492,17348.310830699374,66.16126210644995
20190120T003124Z,519.5722462663769,32.2265625,1.392,1405.1334499535626,34.538493156533605
20190120T003315Z,578.6379593172438,19.775390625,0.86,1372.3804596498455,27.695289301991334
20190120T003829Z,953.1311407424262,4.69970703125,4.766,5261.211041546219,7.848758692991637
20190120T004102Z,600.013492669811,4.45556640625,2.49,1929.6603899691638,8.24749949544434
20190120T004634Z,1463.0320697791303,1.52587890625,11.328,7976.24756698377,9.80784132596763
20190120T005154Z,1760.341039434534,0.9765625,11.45,13208.456621342686,2.368830280107915
20190120T010216Z,925.6201247263449,4.8828125,7.508,4927.1878189241515,7.005695987859629
20190120T011037Z,624.4511587312137,4.39453125,2.208,1943.6691699847129,7.602423927208982
20190120T011720Z,4916.306054790402,1.129150390625,19.394,96896.28534961876,1.8953278784110918
20190120T011938Z,2086.8859625282735,1.0986328125,6.298,19961.199090241178,1.484195166126472
20190120T012159Z,1166.8974052765202,67.7490234375,3.516,5968.737087508789,63.764696991624355
20190120T013011Z,1978.521665669529,1.89208984375,11.28,17013.032810996214,4.992536518530865
20190120T013054Z,977.6097020786548,4.69970703125,2.534,4548.191096980461,7.4261900464888475
20190120T014515Z,9298.916173059783,1.15966796875,43.87,266657.7777921696,1.1177663934900932
20190120T014957Z,1052.2938637412112,64.94140625,0.52,5585.949574957502,47.799265805803586
20190120T015357Z,564.4775529960208,2.8076171875,0.234,1771.0918176098853,6.0155551576458945
20190120T015432Z,3012.5884752828456,74.21875,7.49,25091.462395658218,66.41633513420126
