event_id,group,similarity,amplitude,ref_amp,amp_ratio,med_freq,duration,mean_freq,ref_station
20190127T004045Z,43,0.8070416568782313,529.246577372738,245.33016461461872,2.157282934220969,57.06787109375,26.733758,48.28837128990594,TI3A
20190127T051024Z,31,0.920718181613002,414.194645331937,619.1655946522218,0.6689561708682883,1.64794921875,30.595758,2.517331880260887,TI3A
20190127T052946Z,31,0.866646715501219,243.007499069009,619.1655946522218,0.3924757789642745,1.46484375,30.595758,3.569883565347045,TI3A
20190127T062456Z,31,0.9028018483400774,358.1240183753082,619.1655946522218,0.5783978009573713,1.64794921875,30.595758,2.2400293510439235,TI3A
20190127T070025Z,31,0.862069302462254,308.46077385563245,619.1655946522218,0.498187845900726,1.64794921875,30.595758,2.352114483635798,TI3A
20190127T081617Z,43,0.8650500161940453,222.18558762287398,245.33016461461872,0.9056594731100359,2.227783203125,26.733758,3.1849638946414376,TI3A
20190127T093544Z,43,0.860292738284854,212.24918317904428,245.33016461461872,0.8651573014368604,2.01416015625,26.733758,3.4029811564404033,TI3A
20190127T111107Z,31,0.9219549234075748,448.26764041946666,619.1655946522218,0.723986675440604,1.678466796875,30.595758,2.2920141210680094,TI3A
20190127T122936Z,43,0.8041116724410974,232.13971633739487,245.33016461461872,0.9462338913849249,2.685546875,26.733758,6.5772951396677195,TI3A
20190127T132421Z,31,0.8665826598646889,342.57295557396253,619.1655946522218,0.5532816398921226,1.678466796875,30.595758,4.26445070381214,TI3A
20190127T152847Z,31,0.8369613416013482,455.77600658232797,619.1655946522218,0.7361132635903843,1.8310546875,30.595758,13.930340490554013,TI3A
20190127T160040Z,31,0.8044482325272955,333.5013997490801,619.1655946522218,0.538630380353101,1.800537109375,30.595758,10.179585518247887,TI3A
20190127T170139Z,31,0.8338621046979474,390.0031722295273,619.1655946522218,0.6298850834058175,1.861572265625,30.595758,25.64783801462541,TI3A
20190127T172823Z,31,0.8212245093553846,394.14502774102925,619.1655946522218,0.636574498236479,1.983642578125,30.595758,29.177971348755193,TI3A
20190127T184638Z,31,0.8527439368965742,766.9663574854533,619.1655946522218,1.2387095861103998,2.25830078125,30.595758,20.811818702518174,TI3A
20190127T194111Z,31,0.8642565986255425,816.2932018924738,619.1655946522218,1.318376229142668,1.89208984375,30.595758,8.967620811904256,TI3A
20190127T220815Z,31,0.8673110632973414,531.1166374228021,619.1655946522218,0.8577941701058571,1.8310546875,30.595758,10.765772373918631,TI3A
20190127T222553Z,31,0.8136772492632686,369.85157754162657,619.1655946522218,0.5973387099284287,2.25830078125,30.595758,15.59964576543139,TI3A
20190127T231311Z,31,0.8943750921387631,671.0219365899617,619.1655946522218,1.0837519758617515,1.861572265625,30.595758,2.6170154803286967,TI3A
20190127T234357Z,31,0.866385006463476,353.88572135242134,619.1655946522218,0.5715526256771339,1.678466796875,30.595758,2.99980324339039,TI3A
