event_id,group,similarity,amplitude_ratio,Mw,M0,dMw,dM0
20190113T031053Z,39,0.6603454698710668,1.0653222742584645,1.3518892239136804,106618811209.59702,0.07286639364732551,26832927626.993443
20190113T053137Z,39,0.661085314687076,0.9931267304165996,1.3345861838847748,100433656832.15132,0.07206750793587988,24999177962.360985
20190113T064725Z,39,0.6540762385337557,0.99914685980223,1.3412125066280307,102758737519.62987,0.07298332381995126,25902957077.158646
20190113T073309Z,39,0.7058814914190359,1.13459744336838,1.3631418967934081,110844167306.92041,0.07311824230278237,27992748080.10243
20190113T083346Z,39,0.5025570023264676,1.0400593370475686,1.3171493819356481,94563616467.11069,0.07304451207316642,23857152850.906715
20190113T092557Z,39,0.6537540595485656,1.0311288684665072,1.327310885223949,97941404553.30457,0.07362740223948658,24906502924.044327
20190113T101434Z,39,0.6839833769397826,1.1009059750019916,1.3686291750364497,112964962517.324,0.07229135786754734,28205713653.252827
20190113T103841Z,39,0.7546020885441083,1.267019942697683,1.3856718290017875,119814048593.29222,0.07213328913613239,29850418678.618675
20190113T111840Z,39,0.6471610108479882,1.087205046929986,1.360893570040334,109986746403.18626,0.0724269211301196,27513594136.14412
20190113T123715Z,39,0.7853778923446685,1.2548763618456085,1.4035076997707616,127427026693.62547,0.07201052132394839,31693080405.104565
20190113T133422Z,39,0.6463910620295469,1.0158879862241508,1.3580863804665047,108925502144.00404,0.07217865684555856,27154719097.030807
20190113T142028Z,39,0.5850216062815219,1.061164318781397,1.339369292602954,102106629116.06702,0.07213216000038535,25438401875.0009
20190113T164908Z,39,0.5542645624640937,1.1450312854144755,1.3605043610120635,109838992713.59639,0.07302389495646444,27703107224.241722
20190113T173106Z,39,0.5010263096346335,1.4013597149072434,1.3717622960358256,114194041628.05452,0.07276442960204824,28699182176.815002
20190113T234912Z,39,0.5266951021860786,1.4598465606121906,1.3836734905739938,118989937349.75998,0.07278422931185202,29912621205.479065
