event_id,similarity,Mw,M0,fc,dMw,dM0,dfc
20190105T024037Z,0.8742163128010105,1.320351965129956,95615422342.476,2.8611596640343744,0.08160563911918413,26949770173.386753,0.9504681769315658
20190105T031617Z,0.8962341860667037,1.5377937726306437,202623894760.9919,2.997300850234293,0.0716107818234253,50115956308.101906,1.7399303362974892
20190105T035042Z,0.8549394101857732,1.16633961347922,56170646211.71759,3.0648455963832664,0.09214513960743725,17876759615.973133,0.8330201735165801
20190105T045907Z,0.9082392123170874,1.3145649590880755,93723271279.95169,2.196250732305952,0.07930652884573382,25672214224.457447,0.3294440916669941
20190105T090749Z,0.9226351965273636,1.304411532770601,90493481974.4749,2.2430679419842137,0.08676424372157324,27118460580.612133,1.0162227308665288
20190105T094052Z,0.8733982280521082,0.852094248135792,18973234403.246876,1.529775071728953,0.107241865827417,7027691380.9777975,0.29091339806942346
20190105T151124Z,0.8393147715210398,1.172040113983127,57287539668.035255,2.90799119497529,0.08726641623767283,17266895471.457954,1.0677782324306455
20190105T154959Z,0.8609060829861713,1.1528524377892824,53614055142.659355,2.567189450865347,0.09183426071145853,17005536529.703123,0.4905604648672902
20190105T164808Z,0.8631796625168257,0.8844071515217777,21213421794.08473,2.678158717372216,0.10918559647646489,7999871775.057333,0.8994902790079248
20190105T185300Z,0.8514509558952329,1.0416384906948224,36513859156.745705,1.3107898201941468,0.09677270346622514,12204431595.922623,0.4218393552585644
20190105T205750Z,0.9222553502970589,1.185350816878234,59982729634.789154,2.9682432976339173,0.0899547054348337,18636186966.370693,1.441975738762163
20190105T235750Z,0.8074662189986479,1.2256661669914104,68944440331.4892,2.384388224090563,0.08172253418812873,19460232458.09979,0.7182222935017729
