,event_id,stations,ref_time,ref_duration,group
0,20190126T003915Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2019-01-26T00:39:15.158000Z,26.955759,39
1,20190126T022621Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",2019-01-26T02:26:21.122000Z,26.733758,43
2,20190126T041558Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2019-01-26T04:15:58.212000Z,26.955759,39
3,20190126T063314Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",2019-01-26T06:33:14.236000Z,26.733758,43
4,20190126T124927Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",2019-01-26T12:49:27.030000Z,26.733758,43
5,20190126T151646Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",2019-01-26T15:16:46.438000Z,26.733758,43
6,20190126T165350Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",2019-01-26T16:53:50.862000Z,26.733758,43
7,20190126T181336Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI4A.', '1J.TI1A.']",2019-01-26T18:13:36.174000Z,30.595758,31
8,20190126T215427Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",2019-01-26T21:54:27.898000Z,26.733758,43
