event_id,similarity,Mw,M0,fc,dMw,dM0,dfc
20190119T040409Z,0.8785529344922806,1.182874838839263,59471960904.8231,3.604283966426238,0.10920307967480612,22431281845.827633,2.2659152388885233
20190119T045207Z,0.8198314774149628,1.0600781338321248,38915014871.16952,2.249593579375315,0.09011153648972009,12111684336.375868,0.3798614573692069
20190119T060059Z,0.9276767532804444,1.531726710626014,198422111085.07382,3.8195447696576617,0.09099228971991068,62359353978.77599,3.081240945508091
20190119T072035Z,0.8376311738521097,0.8584850339215144,19396686693.71171,1.9916289475289637,0.11645403800863431,7801696487.963698,0.6656996692528178
20190119T075133Z,0.8473910690075849,0.9433297546407573,26001274244.3934,3.4177891824549143,0.12904658031713523,11589056498.331654,2.295650617358178
20190119T081513Z,0.8263453348066854,1.0747024557142524,40931125197.26317,3.1625642055197867,0.09668720156807445,13668775855.77116,1.8847769755923833
20190119T085212Z,0.8486814216027754,0.6569316454041676,9669354174.551216,3.2230017020367274,0.1563929400194903,5223018448.751585,1.5989862468647964
20190119T092346Z,0.8041234108319814,1.0193598443265737,33809579277.56576,3.0785964175855964,0.10110097947569746,11805980929.03451,1.9460761011376513
20190119T110203Z,0.8611417528928706,1.132244953513359,49930674202.04592,3.406858751447482,0.09809306470116305,16916584457.657526,2.5102209175566217
20190119T132322Z,0.909052897481158,1.435758077160921,142441689350.58597,1.8420808644949735,0.08252706651674135,40601349757.92148,0.28983696533971115
20190119T141821Z,0.8613490911235142,1.0756258611441698,41061876430.40408,3.1033995037477027,0.08903641305796374,12627384216.708656,0.9602148448462666
20190119T151927Z,0.814786761922676,1.2089683713561925,65080751179.057655,0.7961695047006503,0.08454749703971826,19004666811.124012,0.09927035212799853
20190119T165536Z,0.8862618744904323,1.2121762580861795,65805832414.79384,3.6659464392952787,0.10918645177935742,24816474698.010307,2.2920541202990274
20190119T171136Z,0.8606635685537362,1.021914972999845,34109272723.70436,2.5359304706991055,0.09735379483095642,11469177978.122692,1.0575453435422617
20190119T203012Z,0.9578326621000908,1.437141503401108,143123930727.59042,2.6291484739046536,0.07072367220361787,34961012802.57469,0.5125832123338429
20190119T214100Z,0.8127680620652509,1.2317847347212698,70416932444.38853,3.2059636839697707,0.08371662754601246,20360843915.901447,2.0391198907165196
20190119T224735Z,0.8813852347150046,1.0266523779508825,34671973889.9442,3.5614788330332936,0.12803342931863243,15332355935.958769,2.5223186472635937
