event_id,similarity,Mw,M0,fc,dMw,dM0,dfc
20190122T005121Z,0.9234617988192269,1.4622638106973866,156097416766.7009,3.055903513298423,0.07661664813237093,41307205202.243324,0.7757994420773564
20190122T022229Z,0.9266948225401525,1.4472838622755546,148226479339.77722,1.5175228925460584,0.06977395190679317,35721201874.73691,0.1764858855693555
20190122T024805Z,0.8762497433326718,1.4252815062098385,137379603726.94173,1.2614265131555273,0.08566376569112166,40646800758.88767,0.19170463981423588
20190122T033842Z,0.8720759390628013,1.395495787177122,123949186500.70432,1.6477717295241638,0.08425761375722729,36071133010.707085,0.4054030215972289
20190122T045335Z,0.8751718236168508,1.4457541338842583,147445390779.63614,1.234743310597931,0.07776298552954283,39601448788.89648,0.13059085233203832
20190122T055836Z,0.841176401515645,1.4132277794107022,131777622885.31882,1.6800631128519807,0.0753297697925602,34285876551.753933,0.19956906338022015
20190122T072500Z,0.8873837939120492,1.2989647301465554,88806978705.91457,0.6615296638150411,0.09945468729347708,30505580883.627655,0.10667947909074098
20190122T082422Z,0.8138324511889362,1.4730152289135683,162002920326.12695,1.7454296753145406,0.07043102380632037,39408852795.6177,0.20786144834540296
20190122T095134Z,0.8651136384374437,1.4926723240583897,173383787650.90833,0.8814488661143115,0.07746342469181375,46388692018.20614,0.19791495311438917
20190122T112311Z,0.9202689731922944,1.4646302717467465,157378502158.8701,1.9651365488116366,0.0731904025809313,39783820923.00339,0.3121388139552718
20190122T133706Z,0.909236586164072,1.493489565258816,173873880947.06616,2.5605618874572658,0.0699516392614173,42008695149.73933,0.5919872303659678
20190122T140346Z,0.9149766237395244,1.4641404692519275,157112487206.68103,1.395084110393933,0.08269806378430505,44875881561.01657,0.1855798240269708
20190122T150704Z,0.8899406173014962,1.4924246823478313,173235551711.14413,4.105343969383085,0.0748199786557859,44767366918.80836,1.9940220211822404
20190122T155811Z,0.8887290358181078,1.5184881300978432,189553669044.0114,1.4040017087183703,0.07447384812530564,48757669328.813736,0.28453018088588694
20190122T162510Z,0.8871218587596753,1.4348414532863183,141991445342.62378,1.1269956561338765,0.08184246970679157,40137272225.34471,0.1396268758143447
20190122T164456Z,0.8729420548564583,1.4818310344518473,167011567318.31567,0.9244247771161953,0.07684697021500592,44328215556.73546,0.13385443422225252
20190122T172722Z,0.8943207762120498,1.4554498641482505,152466628284.92395,1.4914498637993707,0.08049864751841068,42390674576.9894,0.21561826004327783
20190122T183152Z,0.8566635779658899,1.4898533130783154,171703824876.3497,1.845594103480935,0.07445733829457396,44156477832.49534,0.29193139162149406
20190122T190815Z,0.854287241710496,1.3833053611219457,118838740869.87015,4.078877771552006,0.08007760289500097,32868210038.779675,1.9540363872955817
20190122T194457Z,0.8584591558632843,1.4534091935692546,151395787156.2262,0.376732897968027,0.08639819112844549,45177832207.68276,0.27125752601269043
20190122T203542Z,0.8815138648002563,1.3773724935161242,116428349331.95157,1.7477270297549143,0.08439207184060488,33936522442.256,0.23027804527908907
20190122T211902Z,0.8517119508785732,1.386387996116441,120110781904.11249,1.2448616242898003,0.08255093141485004,34246084162.862675,0.14336152711005068
20190122T220037Z,0.8593427067379151,1.417981660267981,133959183071.81151,2.6219841405740163,0.07882702469359662,36471579557.00698,0.4710719847699766
20190122T223631Z,0.8712030103048457,1.4427709645368028,145933986663.73166,1.3161914196662619,0.08108767092219837,40871278291.72824,0.2012315061594045
20190122T230457Z,0.8517688754810321,1.5318041517932608,198475190604.99237,1.3440588745662627,0.07313628279077468,50135581748.906425,0.14183943305569038
