,event_id,group,similarity,amplitude_ratio
0,20190114T012917Z,39,0.6802534019398694,1.4534325365488259
1,20190114T064947Z,39,0.6232156185240924,0.7993041167188782
2,20190114T070003Z,43,0.8449283231359939,1.1163743229247802
3,20190114T112128Z,39,0.8148410922016178,0.8215245487850659
4,20190114T120602Z,39,0.8379583462782119,0.7886706320339839
5,20190114T124433Z,39,0.8821071810712117,0.8746453791849876
6,20190114T153841Z,39,0.5840875273842498,0.45501318231900356
7,20190114T170024Z,39,0.6827654509954847,0.6212439564813217
8,20190114T173529Z,39,0.6970782018752582,0.6733989000024034
9,20190114T175157Z,54,0.5098919552077501,1.1077423116344454
10,20190114T181147Z,39,0.8016530573332804,0.6551794083159318
11,20190114T190005Z,39,0.8471236452747446,0.80560548906421
12,20190114T201714Z,39,0.626787761084277,0.48669527776155697
13,20190114T210340Z,39,0.7692362226352939,0.7208019634303444
14,20190114T213250Z,39,0.8173080092145742,0.788683507166167
15,20190114T220836Z,39,0.7687302722245303,0.7202571723128708
16,20190114T234918Z,39,0.7449884783764912,0.7674910945227451
