event_id,group,similarity,amplitude,ref_amp,amp_ratio,med_freq,duration,mean_freq,ref_station
20181228T010058Z,44,0.9460833414362196,260.477178821325,181.7419258779863,1.4332255893238317,1.15966796875,26.611759,4.266049905540087,TI4A
20181228T024245Z,44,0.9466840145805748,200.63380071233388,189.63038379192295,1.0580256006468074,1.739501953125,26.611759,1.9081012743820607,TI3A
20181228T030831Z,33,0.912467996208376,757.8064275432313,835.6895475857364,0.9068037643075645,1.617431640625,28.367758,1.7755476243352708,TI3A
20181228T031741Z,44,0.880995693742301,179.19555489594953,189.63038379192295,0.9449728008385865,1.708984375,26.611759,2.336277399550681,TI3A
20181228T035206Z,44,0.9253123373063428,150.97193391966798,189.63038379192295,0.7961378915170366,1.739501953125,26.611759,4.043942633576279,TI3A
20181228T042504Z,44,0.9329184195794252,172.0262451485562,197.30736883404566,0.8718693385103458,1.5869140625,26.611759,9.641562473117327,TI6A
20181228T105357Z,39,0.8041411855894948,88.03753627685161,84.44991080991828,1.0424822884065377,1.983642578125,26.955759,4.846586295898134,TI3A
20181228T115457Z,116,0.8006585139054456,193.17549081895515,153.81596198337692,1.2558871545453252,1.8310546875,17.745758,6.207790028021689,TI6A
20181228T122823Z,44,0.923928451500298,221.1055133666217,197.30736883404566,1.120614575488017,1.678466796875,26.611759,3.1885530276932905,TI6A
20181228T160720Z,44,0.9223496217627424,255.59172036095353,197.30736883404566,1.295398757133752,1.5869140625,26.611759,7.39836523031274,TI6A
20181228T212125Z,33,0.8982749187393032,782.4950932858288,835.6895475857364,0.9363466320075636,1.678466796875,28.367758,2.08233066271428,TI3A
20181228T214457Z,39,0.8168447045514428,110.86591584125728,84.44991080991828,1.312800863588793,1.3427734375,26.955759,5.315090528258488,TI3A
