event_id,group,similarity,Mw,M0,dMw,dM0
20190115T010412Z,39,0.6109932728031415,1.3779886994357406,116676407647.63353,0.07874170693115166,31731808299.199875
20190115T081228Z,117,0.7357055814782892,,,,
20190115T092347Z,116,0.6161549165371542,,,,
20190115T093601Z,117,0.6225438287676878,,,,
20190115T111849Z,39,0.7157673995116051,1.3555260541584229,107966514508.9364,0.07876858006816713,29373050074.8313
20190115T120303Z,39,0.7570115783627392,1.3034201008629882,90184136492.83331,0.07965797653715935,24812262628.64579
20190115T123944Z,39,0.7491902126165417,1.3114498696702421,92720294955.40181,0.07785851488521779,24933765333.52478
20190115T124646Z,31,0.8385966817104947,1.5477138614401769,209686655211.151,0.06558677282385926,47500042917.6269
20190115T141449Z,117,0.760490944196751,,,,
20190115T153856Z,39,0.7229075915286142,1.3583871932540514,109038731344.74586,0.07832980002864075,29499506823.736168
20190115T162125Z,39,0.6652261379427357,1.2776536528470288,82505040016.39247,0.07887535833994802,22476504540.049908
20190115T165139Z,43,0.9030266547148909,1.5972712565347873,248832375037.24573,0.07007989279496367,60229223118.74236
20190115T170120Z,39,0.7319276023130437,1.3437750879730714,103672275739.08864,0.07831911811114582,28043832745.276814
20190115T184351Z,39,0.7211411604005781,1.3433840552763918,103532352641.40904,0.07796029433718209,27877671793.018284
20190115T192814Z,39,0.6190805255085922,1.2978749522662243,88473341131.98009,0.07908353435028961,24166037576.046795
20190115T194359Z,117,0.6007971334283108,,,,
20190115T201202Z,43,0.8439875716885757,1.5852114830474555,238680656969.56125,0.07051134330884694,58127702904.51571
20190115T205830Z,39,0.6021465538366311,1.2825120387801796,83901177934.7196,0.07882964085316291,22843600365.700645
20190115T210606Z,116,0.6902704641612862,,,,
20190115T212148Z,116,0.6319228684925572,,,,
20190115T230811Z,43,0.8296737992998965,1.5932643349820328,245412399912.99548,0.07049224574097417,59750947537.03192
20190115T234419Z,39,0.7383365727149077,1.2907254655387703,86315382279.41211,0.0782250369965395,23320664618.811405
