event_id,group,similarity,Mw,M0,dMw,dM0
20181227T003817Z,39,0.6290608231505942,1.2281485873155162,69538109728.3478,0.07288735611554732,17505802555.308067
20181227T005534Z,54,0.7612316699496412,0.9136258794495049,23465986645.25855,0.11271440309774719,9135349819.189886
20181227T012609Z,39,0.6584158370235996,1.2037712577627868,63922961404.9138,0.07373425083818623,16279201786.8636
20181227T021501Z,44,0.9754557514129272,1.403682488477756,127503977462.79129,0.06364433818536615,28027893283.579502
20181227T022554Z,54,0.6616840973422127,0.8677718295143837,20028929794.89069,0.1146183800391344,7929009863.125551
20181227T025351Z,44,0.958031322230494,1.3405326403400588,102517725104.65443,0.06371837284460473,22561635837.872322
20181227T025726Z,54,0.7622118177066305,0.8524219089451899,18994718573.6558,0.11462589729985094,7520081711.336863
20181227T030829Z,39,0.7329399237669091,1.2392297693631207,72251131704.13788,0.07270272715770695,18142716062.502277
20181227T032936Z,54,0.6789279939016458,0.9597168653008392,27515366248.915413,0.11472038803599659,10902418604.980112
20181227T035838Z,39,0.6011698449967287,1.170091090270727,56903192846.5309,0.07384202499646057,14512665358.322468
20181227T040052Z,44,0.9662913591964172,1.366054053344815,111964689490.91913,0.06339560999297988,24515864524.152466
20181227T040151Z,54,0.6787849071890636,0.91950938229055,23947714583.030098,0.11257897267025656,9311685565.551266
20181227T043831Z,54,0.6587907387281381,0.9532440824326684,26907052347.280342,0.11249050461383846,10454155034.224495
20181227T043913Z,44,0.953928945282682,1.3368170277712341,101210493309.79123,0.06312307035611651,22065847102.086018
20181227T051057Z,54,0.662243824332218,0.8842750901268985,21203748051.809017,0.114614343862951,8393798810.462919
20181227T062236Z,44,0.9350585980408664,1.4052532476081225,128197593099.55852,0.0634716489927592,28103900590.46761
20181227T074023Z,39,0.6273572250665813,1.1678284361551343,56460231462.34903,0.07397397369253894,14425422786.516855
20181227T090448Z,39,0.6118800373712346,1.2219044034115463,68054462010.662766,0.07252239800260543,17046519074.435156
20181227T092224Z,54,0.7907854812146993,0.8686136928102117,20087252521.3013,0.11243242445930873,7800439318.72724
20181227T093141Z,44,0.9689482909105972,1.33935361715346,102101101102.08015,0.06363080149289495,22439065543.594982
20181227T094337Z,39,0.6545039565704375,1.1473337630604679,52601804711.92338,0.07425541077401292,13490737664.524652
20181227T094841Z,54,0.6638172953736569,0.8475259926983201,18676220339.991558,0.11344230193903201,7317638774.51657
20181227T101948Z,54,0.7532819019057682,0.9016175858303725,22512637519.587933,0.11262853855625367,8757532855.699705
20181227T104917Z,39,0.6561737637163776,1.140069539602579,51298457848.81319,0.07336358432727397,12998456905.637936
20181227T105028Z,54,0.7641489455922509,0.9016739863394072,22517023418.839016,0.11286250318969364,8777434667.00525
20181227T111247Z,39,0.6835509675527717,1.1477313420492763,52674086557.93547,0.07351849866102178,13375209414.735815
20181227T111918Z,54,0.7795406381629176,0.8437175580491356,18432164474.60196,0.1139899685429878,7256879615.754991
20181227T112702Z,117,0.6425174276451832,,,,
20181227T120913Z,44,0.9416871677269129,1.3616130210414719,110260391848.58168,0.06370133819709665,24259119572.88782
20181227T122327Z,54,0.7107105159172874,0.8808709863692954,20955907826.313427,0.11073849813202115,8015157420.98233
20181227T130419Z,44,0.946839198134772,1.3568831595592288,108473771258.47922,0.06286052910590058,23551019893.937244
20181227T131051Z,39,0.64938530134575,1.175845655537902,58045490213.28602,0.07297476257075658,14630127861.818014
20181227T132506Z,54,0.7126138800160159,0.8675321959408366,20012359408.194668,0.11209824003082489,7748257329.997678
20181227T144956Z,44,0.954361308494461,1.3686698318212338,112980826573.31801,0.06354250243449305,24795679245.535717
20181227T145550Z,39,0.6178524125265842,1.233281754444624,70781967707.90309,0.0731575324920925,17884986978.485455
20181227T155308Z,39,0.69416660855631,1.2060915856627474,64437306502.32069,0.07297138197212488,16240406574.23049
20181227T155406Z,54,0.759568633799046,0.9007712116897828,22446923037.970833,0.11175466034430148,8664218742.394493
20181227T162614Z,54,0.7045072197003788,0.880068498969611,20897904897.591503,0.11221592377257983,8099611441.242647
20181227T165028Z,39,0.6427244489083477,1.180241721645114,58933547264.613304,0.0733869699083912,14937863500.18512
20181227T175458Z,54,0.6840893006033358,0.831731243925768,17684666159.937237,0.1157122712399039,7067783403.042423
20181227T192245Z,39,0.8126969963676975,1.4078402264438044,129348185162.15761,0.0732627885153244,32730356230.339733
20181227T192513Z,54,0.7137010523823607,0.9076291955348967,22984962170.147255,0.11153907542454876,8854780117.943949
20181227T202842Z,54,0.6200314121037489,0.9782197312043204,29331184167.695724,0.11150075449877953,11295731242.226414
20181227T205522Z,116,0.705760680995837,,,,
20181227T214400Z,39,0.6535292274723417,1.2416285163271095,72852217329.52403,0.07366809505171688,18536560886.42855
20181227T220632Z,39,0.6231257169730947,1.1740692545929576,57690444063.778564,0.07349606099493271,14644511635.819414
20181227T220836Z,116,0.7528014886824547,,,,
20181227T231212Z,39,0.7336415312996718,1.2830040805898797,84043885204.24263,0.072969175397668,21181294914.320454
20181227T233031Z,54,0.7669677677726359,0.9478491237166775,26410321351.102108,0.11204733845383578,10220736176.98208
20181227T234920Z,39,0.6353526203432978,1.2997355096662666,89043713679.54646,0.07469819020976563,22973136449.729557
