,lat,lon,X,Y
D,-67.46544315390204,113.81078735519178,2268242.923339739,-1000924.4985902765
G,-67.46819617922628,113.8395670829178,2267455.833029031,-1001938.202559193
C,-67.47370222987476,113.81798228712329,2267264.9637698266,-1000833.1191311068
E,-67.4489250019566,113.76761776360274,2270701.6596837067,-999966.1496412448
A,-67.47370222987476,113.81798228712329,2267264.9637698266,-1000833.1191311068
B,-67.4626901285778,113.8251772190548,2268275.542049019,-1001619.5776018772
