,Network,Station,Location,Channel,Start,End
568,1J,TI6A,,CH2,2019-01-25T00:00:00.000000Z,2019-01-25T18:29:47.134000Z
569,1J,TI6A,,CHZ,2019-01-25T00:00:00.000000Z,2019-01-25T18:29:46.648000Z
570,1J,TI1A,,CH1,2019-01-25T00:00:00.000000Z,2019-01-26T00:00:00.000000Z
571,1J,TI1A,,CH2,2019-01-25T00:00:00.000000Z,2019-01-26T00:00:00.000000Z
572,1J,TI1A,,CHZ,2019-01-25T00:00:00.000000Z,2019-01-26T00:00:00.000000Z
573,1J,TI4A,,CH1,2019-01-26T00:00:00.000000Z,2019-01-27T00:00:00.000000Z
574,1J,TI4A,,CH2,2019-01-26T00:00:00.000000Z,2019-01-27T00:00:00.000000Z
575,1J,TI4A,,CHZ,2019-01-26T00:00:00.000000Z,2019-01-27T00:00:00.000000Z
576,1J,TI3A,,CH1,2019-01-26T00:00:00.000000Z,2019-01-27T00:00:00.000000Z
577,1J,TI3A,,CH2,2019-01-26T00:00:00.000000Z,2019-01-27T00:00:00.000000Z
578,1J,TI3A,,CHZ,2019-01-26T00:00:00.000000Z,2019-01-27T00:00:00.000000Z
579,1J,TI8A,,CH1,2019-01-26T00:00:00.000000Z,2019-01-27T00:00:00.000000Z
580,1J,TI8A,,CH2,2019-01-26T00:00:00.000000Z,2019-01-27T00:00:00.000000Z
581,1J,TI8A,,CHZ,2019-01-26T00:00:00.000000Z,2019-01-27T00:00:00.000000Z
582,1J,TI1A,,CH1,2019-01-26T00:00:00.000000Z,2019-01-27T00:00:00.000000Z
583,1J,TI1A,,CH2,2019-01-26T00:00:00.000000Z,2019-01-27T00:00:00.000000Z
584,1J,TI1A,,CHZ,2019-01-26T00:00:00.000000Z,2019-01-27T00:00:00.000000Z
585,1J,TI4A,,CH1,2019-01-27T00:00:00.000000Z,2019-01-28T00:00:00.000000Z
586,1J,TI4A,,CH2,2019-01-27T00:00:00.000000Z,2019-01-28T00:00:00.000000Z
587,1J,TI4A,,CHZ,2019-01-27T00:00:00.000000Z,2019-01-28T00:00:00.000000Z
588,1J,TI3A,,CH1,2019-01-27T00:00:00.000000Z,2019-01-28T00:00:00.000000Z
589,1J,TI3A,,CH2,2019-01-27T00:00:00.000000Z,2019-01-28T00:00:00.000000Z
590,1J,TI3A,,CHZ,2019-01-27T00:00:00.000000Z,2019-01-28T00:00:00.000000Z
591,1J,TI8A,,CH1,2019-01-27T00:00:00.000000Z,2019-01-28T00:00:00.000000Z
592,1J,TI8A,,CH2,2019-01-27T00:00:00.000000Z,2019-01-28T00:00:00.000000Z
593,1J,TI8A,,CHZ,2019-01-27T00:00:00.000000Z,2019-01-28T00:00:00.000000Z
594,1J,TI1A,,CH1,2019-01-27T00:00:00.000000Z,2019-01-28T00:00:00.000000Z
595,1J,TI1A,,CH2,2019-01-27T00:00:00.000000Z,2019-01-28T00:00:00.000000Z
596,1J,TI1A,,CHZ,2019-01-27T00:00:00.000000Z,2019-01-28T00:00:00.000000Z
597,1J,TI4A,,CH1,2019-01-28T00:00:00.000000Z,2019-01-29T00:00:00.000000Z
598,1J,TI4A,,CH2,2019-01-28T00:00:00.000000Z,2019-01-29T00:00:00.000000Z
599,1J,TI4A,,CHZ,2019-01-28T00:00:00.000000Z,2019-01-29T00:00:00.000000Z
600,1J,TI3A,,CH1,2019-01-28T00:00:00.000000Z,2019-01-28T10:04:32.510000Z
601,1J,TI3A,,CH2,2019-01-28T00:00:00.000000Z,2019-01-28T10:04:32.632000Z
602,1J,TI3A,,CHZ,2019-01-28T00:00:00.000000Z,2019-01-28T10:04:32.432000Z
603,1J,TI8A,,CH1,2019-01-28T00:00:00.000000Z,2019-01-29T00:00:00.000000Z
604,1J,TI8A,,CH2,2019-01-28T00:00:00.000000Z,2019-01-29T00:00:00.000000Z
605,1J,TI8A,,CHZ,2019-01-28T00:00:00.000000Z,2019-01-29T00:00:00.000000Z
606,1J,TI1A,,CH1,2019-01-28T00:00:00.000000Z,2019-01-29T00:00:00.000000Z
607,1J,TI1A,,CH2,2019-01-28T00:00:00.000000Z,2019-01-29T00:00:00.000000Z
608,1J,TI1A,,CHZ,2019-01-28T00:00:00.000000Z,2019-01-29T00:00:00.000000Z
609,1J,TI4A,,CH1,2019-01-29T00:00:00.000000Z,2019-01-29T04:29:09.532000Z
610,1J,TI4A,,CH2,2019-01-29T00:00:00.000000Z,2019-01-29T04:29:09.620000Z
611,1J,TI4A,,CHZ,2019-01-29T00:00:00.000000Z,2019-01-29T04:29:09.416000Z
612,1J,TI8A,,CH1,2019-01-29T00:00:00.000000Z,2019-01-29T09:59:23.326000Z
613,1J,TI8A,,CH2,2019-01-29T00:00:00.000000Z,2019-01-29T09:59:23.262000Z
614,1J,TI8A,,CHZ,2019-01-29T00:00:00.000000Z,2019-01-29T09:59:23.630000Z
615,1J,TI1A,,CH1,2019-01-29T00:00:00.000000Z,2019-01-29T09:52:41.322000Z
616,1J,TI1A,,CH2,2019-01-29T00:00:00.000000Z,2019-01-29T09:52:41.134000Z
617,1J,TI1A,,CHZ,2019-01-29T00:00:00.000000Z,2019-01-29T09:52:41.632000Z
