,Label,KL_height,KL_phase
31,A,0.16147734028500654,0.0074778514613396555
43,B,0.13376899168877476,0.01856025081815625
34,C,0.029845155687155085,0.04724422363777833
44,D,0.5900576067403658,0.025985856912876085
33,E,0.037867180338059775,0.0409409238388888
32,F,0.3026418890112334,0.00938493317025595
39,G,0.008123729107140485,0.0011508676426051623
54,H,0.06556905916538198,0.0033410472234214374
