,event_id,group,similarity
0,20181226T000119Z,44,0.9751296015860422
1,20181226T000612Z,54,0.8636652378106872
2,20181226T002251Z,39,0.7777785293094956
3,20181226T003856Z,54,0.6125375232570467
4,20181226T005056Z,44,0.9896551107626246
5,20181226T005638Z,39,0.5587647657454753
6,20181226T011004Z,54,0.7266549665867096
7,20181226T013127Z,44,0.9708630735382393
8,20181226T013932Z,54,0.6524349189515947
9,20181226T014012Z,39,0.7196530374583605
10,20181226T020254Z,39,0.839792327637563
11,20181226T021137Z,54,0.6246149092396794
12,20181226T023754Z,39,0.6301723364157792
13,20181226T024449Z,54,0.628321741645954
14,20181226T031911Z,54,0.650303125117825
15,20181226T031949Z,44,0.9999999999682553
16,20181226T032133Z,39,0.7809752385249872
17,20181226T035340Z,39,0.7268477001249396
18,20181226T035437Z,54,0.5637299732258707
19,20181226T042206Z,39,0.6290640993804268
20,20181226T043243Z,54,0.7086288604962463
21,20181226T044753Z,39,0.7206688217151386
22,20181226T050305Z,54,0.8944704939142453
23,20181226T052625Z,39,0.8346456128704769
24,20181226T053446Z,54,0.8119038949040259
25,20181226T055536Z,39,0.7364239893439433
26,20181226T060548Z,54,0.8259507665742639
27,20181226T060724Z,33,0.5004736240228898
28,20181226T063919Z,54,0.5479102204505566
29,20181226T064346Z,39,0.8356761670868064
30,20181226T064415Z,44,0.5223402738787771
31,20181226T071012Z,54,0.8205345828858784
32,20181226T073528Z,39,0.6805359299738813
33,20181226T075946Z,39,0.8190160392727647
34,20181226T081437Z,54,0.9151740341425434
35,20181226T090307Z,33,0.5616298966579938
36,20181226T090905Z,39,0.6947053756245941
37,20181226T092432Z,54,0.5695323176244164
38,20181226T093007Z,39,0.8139880824244059
39,20181226T093219Z,44,0.5134056305667672
40,20181226T094640Z,33,0.527403388602901
41,20181226T095436Z,54,0.7119912633536079
42,20181226T101331Z,33,0.5591161189295636
43,20181226T101556Z,39,0.7766255928108016
44,20181226T103004Z,54,0.895084693354425
45,20181226T103538Z,39,0.6672604271911181
46,20181226T110034Z,39,0.6753278554845726
47,20181226T110116Z,54,0.6392933364266196
48,20181226T111840Z,33,0.5027714902678373
49,20181226T112453Z,39,0.8152286607189978
50,20181226T113418Z,54,0.7767352130684549
51,20181226T114747Z,39,0.7662925900626931
52,20181226T120815Z,54,0.7317949921134445
53,20181226T121909Z,39,0.7665949451079661
54,20181226T124051Z,54,0.7747740507377332
55,20181226T130019Z,39,0.8137368619531039
56,20181226T131859Z,54,0.5917884995621008
57,20181226T132245Z,39,0.5022002193199102
58,20181226T135123Z,54,0.6168464149332862
59,20181226T141038Z,39,0.7850772293598887
60,20181226T145353Z,54,0.5948898024893401
61,20181226T150020Z,39,0.7432105265027301
62,20181226T155759Z,54,0.7185183432591314
63,20181226T161127Z,39,0.681120897122487
64,20181226T161155Z,33,0.5542825246042726
65,20181226T163026Z,54,0.6698023214048882
66,20181226T165404Z,39,0.6794930635623765
67,20181226T165943Z,54,0.5765085853709607
68,20181226T171549Z,44,0.5026730476508278
69,20181226T175015Z,44,0.5130157098975954
70,20181226T175109Z,39,0.7024028572517947
71,20181226T180343Z,54,0.5073390325049005
72,20181226T181411Z,39,0.7826809357409351
73,20181226T183854Z,39,0.629717702400257
74,20181226T184047Z,54,0.7525932393277568
75,20181226T190751Z,54,0.510727625720019
76,20181226T192244Z,39,0.6954585179970773
77,20181226T194034Z,44,0.5420293230384897
78,20181226T194206Z,54,0.7228861666948312
79,20181226T194402Z,39,0.5250330313806753
80,20181226T200432Z,44,0.5803353837401005
81,20181226T201124Z,54,0.5574608910849218
82,20181226T204006Z,44,0.5832581189050635
83,20181226T204429Z,54,0.6763195569627622
84,20181226T204727Z,39,0.6038661762329087
85,20181226T211157Z,54,0.5496276460781451
86,20181226T211321Z,39,0.6612300038621256
87,20181226T211840Z,32,0.6106568672783509
88,20181226T213752Z,39,0.7432299557514384
89,20181226T213845Z,44,0.5075506986561922
90,20181226T214428Z,54,0.6013194414808877
91,20181226T221912Z,54,0.7974415696801306
92,20181226T222014Z,39,0.702180524427929
93,20181226T224204Z,39,0.685274818017091
94,20181226T224836Z,54,0.5516106095376468
95,20181226T230626Z,39,0.598512214085203
96,20181226T231943Z,54,0.5298490887100545
97,20181226T234708Z,39,0.5823939623070963
98,20181226T235151Z,54,0.6004557515079821
