,event_id,group
0,20190122T000911Z,0
1,20190122T001326Z,0
2,20190122T002359Z,0
3,20190122T003728Z,0
4,20190122T004531Z,0
5,20190122T005120Z,0
6,20190122T011208Z,0
7,20190122T012311Z,0
8,20190122T013451Z,0
9,20190122T013710Z,0
10,20190122T013842Z,0
11,20190122T014202Z,0
12,20190122T014737Z,0
13,20190122T015931Z,0
14,20190122T020519Z,0
15,20190122T021548Z,0
16,20190122T022228Z,0
17,20190122T024127Z,0
18,20190122T024439Z,0
19,20190122T024803Z,0
20,20190122T024840Z,0
21,20190122T033846Z,0
22,20190122T040641Z,0
23,20190122T040738Z,0
24,20190122T041029Z,0
25,20190122T041121Z,0
26,20190122T042322Z,0
27,20190122T045204Z,0
28,20190122T045338Z,0
29,20190122T050256Z,0
30,20190122T052003Z,0
31,20190122T053401Z,0
32,20190122T053638Z,0
33,20190122T054230Z,0
34,20190122T054311Z,0
35,20190122T055839Z,0
36,20190122T062031Z,0
37,20190122T065116Z,0
38,20190122T071811Z,0
39,20190122T072503Z,0
40,20190122T080240Z,0
41,20190122T081026Z,0
42,20190122T081146Z,0
43,20190122T081159Z,0
44,20190122T081559Z,0
45,20190122T081631Z,0
46,20190122T081647Z,0
47,20190122T081826Z,0
48,20190122T082354Z,0
49,20190122T082508Z,0
50,20190122T082607Z,0
51,20190122T082648Z,0
52,20190122T083137Z,0
53,20190122T084135Z,0
54,20190122T084719Z,0
55,20190122T085500Z,0
56,20190122T085750Z,0
57,20190122T085910Z,0
58,20190122T085956Z,0
59,20190122T090142Z,0
60,20190122T090514Z,0
61,20190122T090521Z,0
62,20190122T093654Z,0
63,20190122T095137Z,0
64,20190122T095331Z,0
65,20190122T100433Z,0
66,20190122T100521Z,0
67,20190122T100559Z,0
68,20190122T100746Z,0
69,20190122T112311Z,0
70,20190122T114104Z,0
71,20190122T115738Z,0
72,20190122T131113Z,0
73,20190122T131313Z,0
74,20190122T132454Z,0
75,20190122T133706Z,0
76,20190122T140346Z,0
77,20190122T144151Z,0
78,20190122T144802Z,0
79,20190122T145512Z,0
80,20190122T150226Z,0
81,20190122T150334Z,0
82,20190122T150702Z,0
83,20190122T152051Z,0
84,20190122T153317Z,0
85,20190122T155811Z,0
86,20190122T162511Z,0
87,20190122T164458Z,0
88,20190122T165026Z,0
89,20190122T171941Z,0
90,20190122T172723Z,0
91,20190122T173743Z,0
92,20190122T175416Z,0
93,20190122T181304Z,0
94,20190122T183154Z,0
95,20190122T183659Z,0
96,20190122T184553Z,0
97,20190122T185127Z,0
98,20190122T185725Z,0
99,20190122T190817Z,0
100,20190122T190955Z,0
101,20190122T193150Z,0
102,20190122T194145Z,0
103,20190122T194459Z,0
104,20190122T195920Z,0
105,20190122T200921Z,0
106,20190122T202407Z,0
107,20190122T203544Z,0
108,20190122T204923Z,0
109,20190122T205438Z,0
110,20190122T205516Z,0
111,20190122T205948Z,0
112,20190122T210128Z,0
113,20190122T210256Z,0
114,20190122T210706Z,0
115,20190122T210822Z,0
116,20190122T211807Z,0
117,20190122T211904Z,0
118,20190122T213029Z,0
119,20190122T213256Z,0
120,20190122T214434Z,0
121,20190122T214738Z,0
122,20190122T215236Z,0
123,20190122T215329Z,0
124,20190122T215552Z,0
125,20190122T215829Z,0
126,20190122T220039Z,0
127,20190122T220920Z,0
128,20190122T221048Z,0
129,20190122T221259Z,0
130,20190122T221352Z,0
131,20190122T221556Z,0
132,20190122T221624Z,0
133,20190122T221644Z,0
134,20190122T221805Z,0
135,20190122T221841Z,0
136,20190122T221928Z,0
137,20190122T222213Z,0
138,20190122T222234Z,0
139,20190122T222431Z,0
140,20190122T222542Z,0
141,20190122T222553Z,0
142,20190122T222631Z,0
143,20190122T222639Z,0
144,20190122T222802Z,0
145,20190122T223031Z,0
146,20190122T223238Z,0
147,20190122T223339Z,0
148,20190122T223455Z,0
149,20190122T223633Z,0
150,20190122T223732Z,0
151,20190122T223942Z,0
152,20190122T224021Z,0
153,20190122T224037Z,0
154,20190122T224334Z,0
155,20190122T224618Z,0
156,20190122T225032Z,0
157,20190122T225553Z,0
158,20190122T230326Z,0
159,20190122T230459Z,0
160,20190122T230734Z,0
161,20190122T231000Z,0
162,20190122T231503Z,0
163,20190122T231517Z,0
164,20190122T231838Z,0
165,20190122T232715Z,0
166,20190122T232803Z,0
167,20190122T233044Z,0
168,20190122T233515Z,0
169,20190122T234238Z,0
170,20190122T234312Z,0
171,20190122T234405Z,0
172,20190122T234448Z,0
173,20190122T234600Z,0
174,20190122T235017Z,0
175,20190122T235109Z,0
176,20190122T235115Z,0
177,20190122T235725Z,0
178,20190122T235832Z,0
