,event_id,group,similarity,amplitude_ratio
0,20190116T000025Z,1689,0.5295289529148135,0.18721791622305514
1,20190116T000139Z,1057,0.6686084891219717,0.4864571320576097
2,20190116T000533Z,1309,0.6584432512969629,1.513951918073615
3,20190116T000742Z,1309,0.503431811501234,1.2679485007653548
4,20190116T000945Z,699,0.5137566969032014,0.5280974053607562
5,20190116T001029Z,1801,0.5131605463258937,0.47063587565464676
6,20190116T001138Z,1622,0.678824041350634,0.8635893525077768
7,20190116T001241Z,699,0.5319640152221586,0.3716418507211848
8,20190116T001943Z,1801,0.571906711879415,0.42888777371370573
9,20190116T002207Z,1689,0.5666647579748213,1.6071717931604081
10,20190116T002234Z,1622,0.5436669923751987,5.7442612480135455
11,20190116T002251Z,1689,0.6407639900597476,1.47056501994678
12,20190116T002324Z,1309,0.5337086595938813,11.456577283335031
13,20190116T002508Z,1801,0.5023269322243397,0.9913198891574029
14,20190116T002519Z,699,0.9242807968499014,1.2438172989242107
15,20190116T002639Z,1801,0.5193457595704413,0.4664398213774851
16,20190116T003323Z,1223,0.5385055097585779,0.1639454384855096
17,20190116T003356Z,1689,0.6224117785904156,0.40387278888138717
18,20190116T003736Z,699,0.5779718113752739,0.3942839952308692
19,20190116T003946Z,1622,0.5190808972690865,0.6146498850389756
20,20190116T004219Z,1309,0.7407639203550523,1.4988618706554677
21,20190116T004535Z,1622,0.6373874645822234,0.887109778445392
22,20190116T004944Z,1622,0.5265666533445993,0.6380792549024609
23,20190116T005002Z,1622,0.5020085098033207,0.6649927463879478
24,20190116T005214Z,1309,0.713871869831217,1.5324693622538672
25,20190116T005350Z,1801,0.5220392409765074,0.9751664908370088
26,20190116T010142Z,1801,0.5378970214611197,0.4366342410389812
27,20190116T010318Z,1622,0.5190200140153571,0.5772773065018023
28,20190116T010346Z,699,0.861394971548641,0.9394009217535308
29,20190116T011021Z,1801,0.5163644826499327,0.4299070032316839
30,20190116T011050Z,699,0.5177019886225569,0.3814872877739424
31,20190116T011409Z,1309,0.5653074219183205,1.5248072746764172
32,20190116T012039Z,1057,0.5603123355635263,0.744086973816499
33,20190116T012801Z,1622,0.6888366184393387,1.2005767022936296
34,20190116T013400Z,1309,0.6554611070126204,1.5462151896149443
35,20190116T014011Z,1223,0.5362753122630171,0.21927344440131036
36,20190116T014729Z,1309,0.5557586100892495,1.796595536387488
37,20190116T015115Z,699,0.8929323087951389,1.008125344715258
38,20190116T015708Z,1622,0.5528121958389524,1.3348328468191115
39,20190116T021436Z,1801,0.556977386050724,4.896602182303209
40,20190116T021628Z,1689,0.7489111784260549,0.4323354182478963
41,20190116T022040Z,1222,0.5222004211005807,0.16366735342071992
42,20190116T022147Z,1689,0.5285971804831825,0.18344296178075148
43,20190116T022639Z,699,0.508820580069653,0.35796730008594124
44,20190116T022947Z,1622,0.5527249276236214,0.9892101196827188
45,20190116T023000Z,1689,0.5156350810957125,0.2630657771812545
46,20190116T023012Z,1309,0.8121197810540184,1.776990593610164
47,20190116T023836Z,1801,0.5132052684548865,0.6134070744524
48,20190116T023926Z,1222,0.5089295832566421,0.2266500129225406
49,20190116T024355Z,699,0.9004935671162598,1.0103821194176366
50,20190116T025228Z,1689,0.5074070774141084,0.2537365833456097
51,20190116T025854Z,1622,0.6199175428101267,1.0339617342765173
52,20190116T025911Z,647,0.501656537105454,0.14589508896482345
53,20190116T030040Z,1689,0.6605920624675186,0.3992180664045045
54,20190116T030811Z,1309,0.6253519478565245,2.0974689431678577
55,20190116T030916Z,1222,0.5223312692898765,0.3481784275817556
56,20190116T030929Z,699,0.8443655755208184,0.977531150362454
57,20190116T031013Z,1801,0.502905851403642,0.7346465407673212
58,20190116T031039Z,1622,0.5174058861067654,0.886139980753995
59,20190116T032234Z,699,0.5149046692667065,0.4607121626150742
60,20190116T032936Z,1622,0.7051800091533745,1.0698169007539635
61,20190116T034338Z,1309,0.5210922449423896,1.7088221985507244
62,20190116T034725Z,1801,0.6049335892124398,0.5778559664348393
63,20190116T035618Z,1801,0.510056373304383,0.4761769648020671
64,20190116T035816Z,1801,0.5044948930655215,0.44623318427427106
65,20190116T040314Z,1791,0.5061764477182151,0.9105605721092465
66,20190116T041022Z,1309,0.7132234890401583,1.878466405293262
67,20190116T041438Z,1801,0.500060989348523,0.5890802837362495
68,20190116T041738Z,699,0.9339268810087443,0.9806845038064174
69,20190116T042045Z,1309,0.7307205772052215,1.6877278939464206
70,20190116T043648Z,1622,0.6263191673373021,0.9660702843638238
71,20190116T043948Z,1057,0.8134518811836076,0.9766544676176161
72,20190116T044311Z,1309,0.6996982508616031,1.8988978384488882
73,20190116T045310Z,1689,0.5068178131601712,0.22847909778340517
74,20190116T050546Z,1801,0.6119161079126747,3.986327255216923
