,event_id,stations,network_time,ref_time,ref_duration,group
0,20190106T000041Z,['1J.TI1A.'],0.0,2019-01-06T00:00:41.600000Z,3.53,0
1,20190106T000832Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI1A.']",0.0,2019-01-06T00:08:32.400000Z,37.92,0
2,20190106T001323Z,['1J.TI1A.'],0.0,2019-01-06T00:13:23.360000Z,86.78,0
3,20190106T002117Z,['1J.TI1A.'],0.0,2019-01-06T00:21:17.940000Z,7.61,0
4,20190106T002452Z,['1J.TI3A.'],0.0,2019-01-06T00:24:52.940000Z,10.57,0
5,20190106T003032Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI7A.', '1J.TI1A.', '1J.TI4A.']",0.0,2019-01-06T00:30:32.460000Z,56.59,0
6,20190106T003226Z,['1J.TI8A.'],0.0,2019-01-06T00:32:26.300000Z,9.75,0
7,20190106T003727Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",0.0,2019-01-06T00:37:27.540000Z,74.47,0
8,20190106T003932Z,['1J.TI1A.'],0.0,2019-01-06T00:39:32.760000Z,9.09,0
9,20190106T004021Z,"['1J.TI3A.', '1J.TI8A.', '1J.TI6A.', '1J.TI7A.']",0.0,2019-01-06T00:40:21.690000Z,22.08,0
10,20190106T004150Z,"['1J.TI1A.', '1J.TI4A.', '1J.TI3A.']",0.0,2019-01-06T00:41:50.050000Z,90.82,0
11,20190106T004714Z,['1J.TI3A.'],0.0,2019-01-06T00:47:14.510000Z,7.42,0
12,20190106T005451Z,['1J.TI3A.'],0.0,2019-01-06T00:54:51.880000Z,3.98,0
13,20190106T005548Z,"['1J.TI8A.', '1J.TI4A.']",0.0,2019-01-06T00:55:48.950000Z,53.14,0
14,20190106T005746Z,['1J.TI8A.'],0.0,2019-01-06T00:57:46.060000Z,2.76,0
15,20190106T010618Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.']",0.0,2019-01-06T01:06:18.140000Z,36.43,0
16,20190106T011542Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",0.0,2019-01-06T01:15:42.020000Z,62.11,0
17,20190106T012728Z,['1J.TI3A.'],0.0,2019-01-06T01:27:28.140000Z,10.82,0
18,20190106T013309Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI7A.', '1J.TI1A.', '1J.TI4A.']",0.0,2019-01-06T01:33:09.060000Z,101.94,0
19,20190106T014108Z,['1J.TI4A.'],0.0,2019-01-06T01:41:08.880000Z,9.18,0
20,20190106T014604Z,"['1J.TI3A.', '1J.TI7A.', '1J.TI4A.']",0.0,2019-01-06T01:46:04.390000Z,34.85,0
21,20190106T015145Z,['1J.TI3A.'],0.0,2019-01-06T01:51:45.060000Z,11.4,0
22,20190106T015842Z,"['1J.TI3A.', '1J.TI8A.']",0.0,2019-01-06T01:58:42.750000Z,16.68,0
23,20190106T020147Z,"['1J.TI3A.', '1J.TI4A.']",0.0,2019-01-06T02:01:47.030000Z,11.89,0
24,20190106T022355Z,"['1J.TI1A.', '1J.TI4A.', '1J.TI3A.', '1J.TI6A.', '1J.TI8A.']",0.0,2019-01-06T02:23:55.990000Z,100.86,0
25,20190106T023024Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",0.0,2019-01-06T02:30:24.440000Z,16.96,0
26,20190106T023932Z,['1J.TI3A.'],0.0,2019-01-06T02:39:32.330000Z,17.46,0
27,20190106T025044Z,['1J.TI3A.'],0.0,2019-01-06T02:50:44.990000Z,21.36,0
28,20190106T025136Z,"['1J.TI1A.', '1J.TI4A.']",0.0,2019-01-06T02:51:36.180000Z,21.66,0
29,20190106T025723Z,['1J.TI8A.'],0.0,2019-01-06T02:57:23.200000Z,28.72,0
30,20190106T025910Z,"['1J.TI3A.', '1J.TI4A.']",0.0,2019-01-06T02:59:10.480000Z,19.37,0
31,20190106T030327Z,"['1J.TI3A.', '1J.TI4A.']",0.0,2019-01-06T03:03:27.070000Z,28.28,0
