,event_id,stations,ref_time,ref_duration,group
160,20181228T082609Z,['1J.TI3A.'],2018-12-28T08:26:09.540000Z,31.73,1309
161,20181228T083548Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",2018-12-28T08:35:48.660000Z,47.52,699
162,20181228T084140Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.']",2018-12-28T08:41:40.460000Z,59.05,1794
163,20181228T084205Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-28T08:42:05.410000Z,37.91,1622
164,20181228T084316Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI1A.']",2018-12-28T08:43:16.390000Z,55.82,1057
165,20181228T084436Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T08:44:36.920000Z,37.97,1801
166,20181228T084817Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI1A.']",2018-12-28T08:48:17.800000Z,45.88,1689
167,20181228T084837Z,['1J.TI3A.'],2018-12-28T08:48:37.740000Z,31.73,1309
168,20181228T084912Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI1A.']",2018-12-28T08:49:12.620000Z,45.88,1689
169,20181228T085211Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI1A.']",2018-12-28T08:52:11.100000Z,45.88,1689
170,20181228T085540Z,['1J.TI3A.'],2018-12-28T08:55:40.090000Z,31.73,1309
171,20181228T085618Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T08:56:18.000000Z,37.97,1801
172,20181228T085957Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI1A.']",2018-12-28T08:59:57.510000Z,45.88,1689
173,20181228T090214Z,['1J.TI3A.'],2018-12-28T09:02:14.020000Z,31.73,1309
174,20181228T090625Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI1A.']",2018-12-28T09:06:25.820000Z,45.88,1689
175,20181228T090936Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T09:09:36.510000Z,37.97,1801
176,20181228T091019Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI1A.']",2018-12-28T09:10:19.600000Z,45.88,1689
177,20181228T091031Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI1A.']",2018-12-28T09:10:31.680000Z,45.88,1689
178,20181228T091504Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI1A.']",2018-12-28T09:15:04.700000Z,45.88,1689
179,20181228T092146Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI1A.']",2018-12-28T09:21:46.350000Z,45.88,1689
180,20181228T092205Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T09:22:05.070000Z,37.97,1801
181,20181228T092253Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",2018-12-28T09:22:53.840000Z,47.52,699
182,20181228T092532Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI1A.']",2018-12-28T09:25:32.520000Z,45.88,1689
183,20181228T092943Z,['1J.TI3A.'],2018-12-28T09:29:43.280000Z,31.73,1309
184,20181228T093041Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-28T09:30:41.130000Z,37.91,1622
185,20181228T093500Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T09:35:00.080000Z,37.97,1801
186,20181228T094118Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.']",2018-12-28T09:41:18.360000Z,37.91,1622
187,20181228T094253Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI8A.', '1J.TI4A.', '1J.TI1A.']",2018-12-28T09:42:53.230000Z,38.97,1791
188,20181228T094719Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T09:47:19.170000Z,37.97,1801
189,20181228T095229Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI1A.']",2018-12-28T09:52:29.400000Z,45.88,1689
190,20181228T095331Z,['1J.TI3A.'],2018-12-28T09:53:31.410000Z,31.73,1309
191,20181228T100001Z,"['1J.TI3A.', '1J.TI6A.', '1J.TI4A.', '1J.TI8A.']",2018-12-28T10:00:01.780000Z,37.97,1801
192,20181228T100548Z,['1J.TI3A.'],2018-12-28T10:05:48.590000Z,31.73,1309
