,event_id,group
0,20190116T000027Z,0
1,20190116T000057Z,0
2,20190116T000139Z,0
3,20190116T000304Z,0
4,20190116T000334Z,0
5,20190116T000426Z,0
6,20190116T000533Z,0
7,20190116T000836Z,0
8,20190116T000917Z,0
9,20190116T000938Z,0
10,20190116T001138Z,0
11,20190116T001403Z,0
12,20190116T001634Z,0
13,20190116T001634Z,0
14,20190116T001740Z,0
15,20190116T001919Z,0
16,20190116T002010Z,0
17,20190116T002047Z,0
18,20190116T002146Z,0
19,20190116T002245Z,0
20,20190116T002324Z,0
21,20190116T002508Z,0
22,20190116T003356Z,0
23,20190116T004219Z,0
24,20190116T004535Z,0
25,20190116T005140Z,0
26,20190116T005214Z,0
27,20190116T005316Z,0
28,20190116T005346Z,0
29,20190116T005512Z,0
30,20190116T005518Z,0
31,20190116T010208Z,0
32,20190116T010345Z,0
33,20190116T010725Z,0
34,20190116T010756Z,0
35,20190116T010842Z,0
36,20190116T010900Z,0
37,20190116T010922Z,0
38,20190116T011123Z,0
39,20190116T011135Z,0
40,20190116T011409Z,0
41,20190116T011517Z,0
42,20190116T011811Z,0
43,20190116T011935Z,0
44,20190116T012012Z,0
45,20190116T012331Z,0
46,20190116T012357Z,0
47,20190116T012508Z,0
48,20190116T012545Z,0
49,20190116T012601Z,0
50,20190116T012644Z,0
51,20190116T012653Z,0
52,20190116T012722Z,0
53,20190116T012737Z,0
54,20190116T012800Z,0
55,20190116T012904Z,0
56,20190116T012922Z,0
57,20190116T013006Z,0
58,20190116T013110Z,0
59,20190116T013130Z,0
60,20190116T013206Z,0
61,20190116T013254Z,0
62,20190116T013400Z,0
63,20190116T013423Z,0
64,20190116T013510Z,0
65,20190116T013626Z,0
66,20190116T013736Z,0
67,20190116T013904Z,0
68,20190116T013956Z,0
69,20190116T014015Z,0
70,20190116T014045Z,0
71,20190116T014135Z,0
72,20190116T014245Z,0
73,20190116T014414Z,0
74,20190116T014423Z,0
75,20190116T014604Z,0
76,20190116T014729Z,0
77,20190116T014749Z,0
78,20190116T014824Z,0
79,20190116T014849Z,0
80,20190116T015114Z,0
81,20190116T015151Z,0
82,20190116T015234Z,0
83,20190116T015324Z,0
84,20190116T015417Z,0
85,20190116T015430Z,0
86,20190116T015518Z,0
87,20190116T015544Z,0
88,20190116T015708Z,0
89,20190116T015741Z,0
90,20190116T015819Z,0
91,20190116T015823Z,0
92,20190116T015911Z,0
93,20190116T015941Z,0
94,20190116T020012Z,0
95,20190116T020040Z,0
96,20190116T020046Z,0
97,20190116T020113Z,0
98,20190116T020227Z,0
99,20190116T020325Z,0
100,20190116T020417Z,0
101,20190116T020444Z,0
102,20190116T020456Z,0
103,20190116T020512Z,0
104,20190116T020806Z,0
105,20190116T020814Z,0
106,20190116T020914Z,0
107,20190116T021020Z,0
108,20190116T021259Z,0
109,20190116T021316Z,0
110,20190116T021411Z,0
111,20190116T021628Z,0
112,20190116T021711Z,0
113,20190116T021717Z,0
114,20190116T022045Z,0
115,20190116T022227Z,0
116,20190116T022507Z,0
117,20190116T022614Z,0
118,20190116T022714Z,0
119,20190116T022754Z,0
120,20190116T022837Z,0
121,20190116T022919Z,0
122,20190116T022946Z,0
123,20190116T022952Z,0
124,20190116T023012Z,0
125,20190116T023038Z,0
126,20190116T023147Z,0
127,20190116T023215Z,0
128,20190116T023220Z,0
129,20190116T023311Z,0
130,20190116T023334Z,0
131,20190116T023540Z,0
132,20190116T023724Z,0
133,20190116T023821Z,0
134,20190116T023920Z,0
135,20190116T023947Z,0
136,20190116T024119Z,0
137,20190116T024222Z,0
138,20190116T024355Z,0
139,20190116T024454Z,0
140,20190116T024459Z,0
141,20190116T024628Z,0
142,20190116T025222Z,0
143,20190116T025349Z,0
144,20190116T025700Z,0
145,20190116T025757Z,0
146,20190116T025828Z,0
147,20190116T030022Z,0
148,20190116T030040Z,0
149,20190116T030254Z,0
150,20190116T030428Z,0
151,20190116T030515Z,0
152,20190116T030551Z,0
153,20190116T030811Z,0
154,20190116T030922Z,0
