,event_id,group
0,20190114T040431Z,0
1,20190114T073236Z,0
2,20190114T073747Z,0
3,20190114T090804Z,0
4,20190114T102154Z,0
5,20190114T115250Z,0
6,20190114T115444Z,0
7,20190114T121120Z,0
8,20190114T122413Z,0
9,20190114T124613Z,0
10,20190114T134033Z,0
11,20190114T140536Z,0
12,20190114T145409Z,0
13,20190114T163617Z,0
14,20190114T164238Z,0
15,20190114T165304Z,0
16,20190114T170031Z,0
17,20190114T173257Z,0
18,20190114T173337Z,0
19,20190114T173403Z,0
20,20190114T181154Z,0
21,20190114T185212Z,0
22,20190114T191340Z,0
23,20190114T195204Z,0
24,20190114T201019Z,0
25,20190114T202135Z,0
26,20190114T214707Z,0
27,20190114T222952Z,0
28,20190114T223133Z,0
29,20190114T224706Z,0
