event_id,group,similarity,amplitude_ratio,Mw,M0,dMw,dM0
20190125T001537Z,31,0.9673622182221906,0.9517357862061352,1.493317797255405,173770758135.89474,0.06829202392252667,40987707417.94428
20190125T011521Z,31,0.9830570889091332,0.9704613526571996,1.4972598863102933,176152913024.88266,0.06800662542434244,41375952283.542946
20190125T015805Z,39,0.5574809524770825,0.4608999831402934,1.084289311796529,42309117592.739395,0.07268721264756223,10621819832.651913
20190125T020929Z,43,0.8500518035889731,0.8730780177360691,1.4287007608978897,139011631792.37677,0.07014831230395095,33680250730.283813
20190125T023900Z,39,0.8229021754184757,1.152246792605668,1.3861139214726066,119997136399.70427,0.07282458706211929,30182545269.681805
20190125T032752Z,43,0.8571027234681261,0.7872961389657664,1.4035368753216853,127439868007.01176,0.07008641734168712,30849357339.170715
20190125T070024Z,39,0.7918959029235824,0.7599301605226139,1.2491089608231905,74758992727.0124,0.07254755428708999,18732388883.49259
20190125T070618Z,43,0.8422351985986225,0.8920675583719381,1.457529877908076,153565909726.6211,0.07059511125365153,37443496061.9673
20190125T092630Z,39,0.7004844577449196,0.4412933423052473,1.1086763580548844,46027197994.72252,0.0716844271261545,11395838968.576128
20190125T094130Z,43,0.8529580148122663,0.8342784490352645,1.4475254133603297,148350194496.39474,0.07064837242659094,36199054652.06887
20190125T114301Z,39,0.8517440206891765,1.1717042873788208,1.397640469764836,124870745531.25682,0.07315143862710559,31549357839.016533
20190125T125316Z,31,0.9999999993963804,1.0000039532831968,1.5138586684149873,186546885484.4072,0.06779335482042789,43679944341.6856
20190125T130507Z,43,0.8783063022566289,0.7397913833981968,1.3938886263017212,123263058462.48164,0.07096544304624501,30212509896.593216
20190125T164713Z,43,0.9041656374654836,0.7544579515296105,1.4049943668643685,128083017425.55136,0.07086396429218811,31349018067.774876
20190125T180810Z,39,0.6546138801613588,0.4185803610377654,1.113841276183643,46855644315.83278,0.07337392191873705,11874370493.088303
