,event_id,stations,ref_time,ref_duration,group
0,20190113T031053Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2019-01-13T03:10:53.126000Z,26.955759,39
1,20190113T053137Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2019-01-13T05:31:37.318000Z,26.955759,39
2,20190113T064725Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2019-01-13T06:47:25.588000Z,26.955759,39
3,20190113T073309Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2019-01-13T07:33:09.978000Z,26.955759,39
4,20190113T083346Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2019-01-13T08:33:46.010000Z,26.955759,39
5,20190113T092557Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2019-01-13T09:25:57.190000Z,26.955759,39
6,20190113T101434Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2019-01-13T10:14:34.158000Z,26.955759,39
7,20190113T103841Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2019-01-13T10:38:41.914000Z,26.955759,39
8,20190113T111840Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2019-01-13T11:18:40.492000Z,26.955759,39
9,20190113T123715Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2019-01-13T12:37:15.694000Z,26.955759,39
10,20190113T133422Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2019-01-13T13:34:22.564000Z,26.955759,39
11,20190113T142028Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2019-01-13T14:20:28.972000Z,26.955759,39
12,20190113T164908Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2019-01-13T16:49:08.762000Z,26.955759,39
13,20190113T173106Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2019-01-13T17:31:06.284000Z,26.955759,39
14,20190113T234912Z,"['1J.TI6A.', '1J.TI3A.', '1J.TI8A.', '1J.TI4A.']",2019-01-13T23:49:12.934000Z,26.955759,39
