,event_id,group,similarity,amplitude_ratio
0,20190115T003824Z,39,0.5310484853181826,0.7959871383656958
1,20190115T010412Z,39,0.8373999161726241,1.10421762205582
2,20190115T015002Z,39,0.6331671710659273,1.0956108474338024
3,20190115T055112Z,39,0.8002274401820465,0.9926327877931973
4,20190115T062945Z,39,0.6975580261287065,0.8823498013163502
5,20190115T111849Z,39,0.7657847383422589,0.8168430741088712
6,20190115T120303Z,39,0.8022279120683039,0.6990242968047445
7,20190115T123944Z,39,0.7766382412893682,0.6355151044042452
8,20190115T124646Z,31,0.8474565290652585,0.9880478920912784
9,20190115T133042Z,39,0.5538749581106944,0.4870005615781589
10,20190115T140133Z,39,0.5504814728262049,0.5171037449148567
11,20190115T153856Z,39,0.8523462144529317,0.9225320572423792
12,20190115T162125Z,39,0.777882590943913,0.7171035738681639
13,20190115T165139Z,43,0.9313104632857644,1.3493910916615373
14,20190115T170120Z,39,0.844092029775803,0.8713211651106767
15,20190115T184351Z,39,0.8011671864269282,0.8227975380598562
16,20190115T192814Z,39,0.736862733928266,0.6996844550983002
17,20190115T201202Z,43,0.8483014687565188,1.3123273313862014
18,20190115T205830Z,39,0.6601129705859594,0.6313575469619814
19,20190115T221232Z,39,0.5921507056501211,0.5770336354153442
20,20190115T230331Z,39,0.5481669856165943,0.6045159345225856
21,20190115T230811Z,43,0.8353835944091595,1.341637842255291
22,20190115T234419Z,39,0.7917527565839609,0.634302943153119
