,event_id,group
0,20181228T010106Z,0
1,20181228T012407Z,0
2,20181228T012454Z,0
3,20181228T013144Z,0
4,20181228T013454Z,0
5,20181228T013640Z,0
6,20181228T013848Z,0
7,20181228T013905Z,0
8,20181228T014429Z,0
9,20181228T014545Z,0
10,20181228T014624Z,0
11,20181228T014816Z,0
12,20181228T015047Z,0
13,20181228T015218Z,0
14,20181228T015458Z,0
15,20181228T015511Z,0
16,20181228T015638Z,0
17,20181228T021439Z,0
18,20181228T021607Z,0
19,20181228T021628Z,0
20,20181228T021919Z,0
21,20181228T023432Z,0
22,20181228T023523Z,0
23,20181228T024246Z,0
24,20181228T024918Z,0
25,20181228T025119Z,0
26,20181228T025609Z,0
27,20181228T030449Z,0
28,20181228T030834Z,0
29,20181228T031423Z,0
30,20181228T031525Z,0
31,20181228T031646Z,0
32,20181228T031749Z,0
33,20181228T032756Z,0
34,20181228T033213Z,0
35,20181228T035207Z,0
36,20181228T040256Z,0
37,20181228T041320Z,0
38,20181228T042506Z,0
39,20181228T042755Z,0
40,20181228T042923Z,0
41,20181228T043218Z,0
42,20181228T044026Z,0
43,20181228T050450Z,0
44,20181228T065328Z,0
45,20181228T081235Z,0
46,20181228T093659Z,0
47,20181228T104928Z,0
48,20181228T105249Z,0
49,20181228T110502Z,0
50,20181228T110607Z,0
51,20181228T110646Z,0
52,20181228T110700Z,0
53,20181228T111547Z,0
54,20181228T111914Z,0
55,20181228T112019Z,0
56,20181228T114045Z,0
57,20181228T120231Z,0
58,20181228T120245Z,0
59,20181228T120303Z,0
60,20181228T120332Z,0
61,20181228T120343Z,0
62,20181228T120458Z,0
63,20181228T121709Z,0
64,20181228T121903Z,0
65,20181228T122831Z,0
66,20181228T150223Z,0
67,20181228T150528Z,0
68,20181228T154206Z,0
69,20181228T155315Z,0
70,20181228T161555Z,0
71,20181228T161854Z,0
72,20181228T164420Z,0
73,20181228T165235Z,0
74,20181228T165843Z,0
75,20181228T170602Z,0
76,20181228T171300Z,0
77,20181228T171814Z,0
78,20181228T171918Z,0
79,20181228T172659Z,0
80,20181228T174032Z,0
81,20181228T174831Z,0
82,20181228T175549Z,0
83,20181228T181742Z,0
84,20181228T182328Z,0
85,20181228T183518Z,0
86,20181228T183731Z,0
87,20181228T184348Z,0
88,20181228T184604Z,0
89,20181228T184734Z,0
90,20181228T185401Z,0
91,20181228T185421Z,0
92,20181228T190543Z,0
93,20181228T190630Z,0
94,20181228T190845Z,0
95,20181228T192407Z,0
96,20181228T193258Z,0
97,20181228T203743Z,0
98,20181228T203803Z,0
99,20181228T203840Z,0
100,20181228T211736Z,0
101,20181228T212457Z,0
102,20181228T213832Z,0
103,20181228T221954Z,0
104,20181228T222551Z,0
105,20181228T222859Z,0
106,20181228T225407Z,0
107,20181228T225803Z,0
108,20181228T225819Z,0
109,20181228T230439Z,0
110,20181228T231213Z,0
111,20181228T232306Z,0
112,20181228T233922Z,0
113,20181228T233953Z,0
114,20181228T234100Z,0
115,20181228T234304Z,0
116,20181228T234326Z,0
117,20181228T234750Z,0
118,20181228T234905Z,0
119,20181228T235154Z,0
120,20181228T235639Z,0
121,20181228T235721Z,0
122,20181228T235742Z,0
123,20181228T235843Z,0
